username,comment,likes,time
@ketikaandagabut2012,"posisi mu di MPR apa bang? tau apa kau soal MPR jadi juri lu 😂 
ya begitulah kira kira",0,22 jam yang lalu
@lamanian019,Harusnya group c yg juara 1,0,21 jam yang lalu
@dellasariesta2856,up terus,0,21 jam yang lalu
@diskositio7023,Up,0,17 jam yang lalu
@bayutirtoprasetio,Juri wajib revisi,0,15 jam yang lalu
@BagusRadianto-d2m,Panitia harus koreksi hasilnya biar fair,0,10 jam yang lalu
@chrstblrchl,up,0,5 jam yang lalu
@leoraawrr,up,0,5 jam yang lalu
@ShantyKesel,Up,0,4 jam yang lalu
@rakhaiiooo,UP,0,3 jam yang lalu
@sugengwidyatmoko4117,Sudah terwakili apa yg saya pikirkan...,0,1 jam yang lalu
@MOTEKER,up,0,4 menit yang lalu
@rifimo,"Kalau dibilang copas enggak sih, mereka harusnya sama-sama tau. Hanya saja yg C kena jegal juri (sengaja ataupun tidak) 😅
Semoga hasilnya bisa direvisi setelah viral 😂",28,1 hari yang lalu (diedit)
@anttoxic2724,​ @rifimo sogokan amplop kuat 😂😂,0,3 jam yang lalu
@Blueyeti45,1:10:39,4,15 jam yang lalu
@sooooodk,"Biasa, di team B ada anak pejabat yang korupsi tajir dan mulus, kalo gak di kasih point juri nya gak cair dong",53,1 hari yang lalu
@muhammadlukman9474,​ @sooooodk sebut ajalah siapa,2,23 jam yang lalu
@iinnurr6879,​ @sooooodk  yg mana emang?,1,22 jam yang lalu
@AkaSrida24,​ @sooooodk aku penasan... Siapa kira²,1,12 jam yang lalu
@jaehahaheh123,Up sampai minta maaf dan ganti pemenang,9,15 jam yang lalu
@Faradisinafisah,​ @jaehahaheh123 emang yg menang siapa kk finalnya,0,13 jam yang lalu
@sopiatibintiidi2296,Duh jadi inget ratu amplop.. gak nyangka aja kalo judulnya cerdas cermat.. tapi hasilnya sudah ditentukan.. buat apa? Boikot ajalah..,4,12 jam yang lalu
@mjltv3487,Juri dan MC nya 4 tahun kedepan jadi ketua dan anggota KPU nih cocok😂😂😂😂😂😂,2,6 jam yang lalu
@warkoptebupadang,spill sosmed Juri nyaa,1,19 jam yang lalu
@DewaHitam-j5k,Hidup koruptor. Hidup koruptor hiduppppp koruptor.. mari majukan budaya koruptor...,1,18 jam yang lalu
@glorioreksa6421,Up up up up up up.❤❤❤,1,7 jam yang lalu
@heloalofficial,Setuju 1000 persen,0,20 jam yang lalu
@Agam.A.Pratama,Sepakat pecat saja!! Ini namanya tidak keadilan,0,6 jam yang lalu
@bayupurnomo2688,Coba MCnya ganti ama Pak Surya Insomnia dan Ibu Melanie Ricardo.,0,2 jam yang lalu
@mawarraja,Setuju,0,1 jam yang lalu
@AlzayHmb,Katanya juri nya juga pejabat?,0,13 menit yang lalu
@donkingkong2126,"MC nya asbun seharusnya gak perlu bilang begitu udahlah mental adik itu dihajar juri ditambahin pula sama kalimat MC,,,suruh lihat tayangan ulang pula,,,trus kalo setelah lihat memang benar jawabannya,,,,ngerubah hasil akhir gak ini MC,,,👎",26,1 hari yang lalu
@andreasgiri9399,"gambaran ""sebenernya pengen bela, tp terikat peraturan penguasa.""",15,1 hari yang lalu (diedit)
@iameera6493,"Liat di ig dia mc wedding kak. Jadi wajar kurang kompeten untuk mc instansi besar, min wawasan profil perusahaan harus tau ya termasuk pengetahuan umum tentang MPR dan topik2 yg akan dilombakan. Bukan asal mc yapping bacain soal.",6,1 hari yang lalu
@Blueyeti45,"point akhir 😮
Group B:90 Group C:70
 seharusnya 
Group B:80 group C:85",4,14 jam yang lalu
@Faradisinafisah,​ @Blueyeti45 betul,1,12 jam yang lalu
@polkesban_moch.alfarizki4708,"BENER SAYA SETUJU , harusnya MC menengahi bukannya malah memihak , dasar juri jangan mentang mentang mereka anak di bawah umur kalian , kalian jadi ngerasa si paling hebat , si paling tau. Setelah liat tayangan ulangnya malu sendiri kan ?",2,1 hari yang lalu
@sopiatibintiidi2296,Sumpah aku yang liatnya sakit hati,1,12 jam yang lalu
@jonathanlius,MCnya menjilat ke pejabat,1,10 jam yang lalu
@user-Alin557,"Itu yang di namakan ABS, yang penting dalam otaknya cuma duit ..",0,13 jam yang lalu
@Teguhaman-f1q,Fix Modal Congor,0,7 jam yang lalu
@SEGERRR_DADDY,"bener aneh aja gitu.. harusnya MC yang baik cek VAR. Kan itu video direkam, masa kaga bisa putar siaran ulang. Kayak idup di jaman majapahit aja gua liat.",0,4 jam yang lalu
@alexander_agung_prastowo,Harusnya Cak Lontong jadi MC,0,4 jam yang lalu
@SEGERRR_DADDY," @alexander_agung_prastowo  Harusnya Nikita Mirzani atau Dinar Candy.




Oh itu LC. Sorry sorry",0,3 jam yang lalu
@ANAKNTT5258,MC nya sebenarnya go block,0,2 jam yang lalu
@DenTRM,"mc mah cuma bisa ngeiyain juri bg, jangan disalahin mc nya",0,1 hari yang lalu
@byasafffr, @DenTRM tp seharusnya lebih bijak cara nanggepinnya dengan jawaban kaya gitu mc ky ga berbobot si,15,1 hari yang lalu
@Galan_sama,"​ @DenTRM  ya tetep salah dongg, orang jurinya salah, diiyain",4,1 hari yang lalu
@afri639,​ @DenTRM MC itu bertindak sebagai moderator yang memegang kendali acara jd semua acara itu yg bisa meneruskan atau memberhentikan itu moderator,2,1 hari yang lalu
@collinsmr6809,"""Mungkin hanya perasaan adik adik saja"" 1:12:44 
Dari sini anak-anak sudah di ajarkan untuk memaklumi kesalahan orang DEWASA yang katanya Juri KOMPETEN dan TELITI""",281,1 hari yang lalu
@angiarfangi4761,"Adik-adik dari grub C, kalian cerdas dan luar biasa. Luar biasa berani speak up atas ketidak adilan juri, kalian lebih cerdas dari juri  dan mc sok tau itu.",85,1 hari yang lalu
@hasansuhaimi8755,"Kalo Kata Gea Indrawari: ""Selama Ini Kau Hebat, Hanya Kau Tak Didengar"" 😅",50,1 hari yang lalu
@tonnygunawan9795,"Seandainya benar kompeten dan teliti, seharusnya

Grup B (90-10) = 80
Grup C (70+5+10) = 85

Bukankah begitu Dewan Juri ?",1,15 menit yang lalu
@rickysalim7099,Nama acaranya Cerdas Cermat tapi jurinya Tidak Cermat. Mungkin ini contoh potret elit politik kita yg tidak mau mendengar keluh kesah rakyat,59,13 jam yang lalu
@nocturnal3270,"ini adalah contoh orang yang bertahta tidak mau di kritik sudah ada bukti VAR penonton tetep sangat sangat sangat memberi contoh yang baik pada generasi penerus GOOD JOB MPR RI program tepat sasaran menanamkan benih bahwa pemerintah tidak pro rakyat real bukti di sektor pendidikan berat sebelah 

seharusnya Grup C menang 85 Grup B 80 

kurang kenceng kah sogokannya sampe denial dan avoid gitu?",52,1 hari yang lalu
@ParulihanSipayung,"Anak Pontianak yg berani protes itu: you dare to speak up - itu luar biasa, status juri, atau lembaga, kabiro sekalipun harus dipertanyakan kompetensinya ...

Cocok jadi duta SMA Indonesia  ini ...",132,1 hari yang lalu
@King_Julian-u8t,"jurinya sdm nya rendah banget, ternyata masih mending gw, tu juri adu cerdas sama saya dh tau lah menang siapa ya menang gw juri sdm rendah minta menang wkwkwk",1,21 menit yang lalu
@njal-njul,"saran buat acara selanjutnya, jurinya dipakein headset biar fokus dg jawaban peserta, kalo ga mau, mungkin bisa disediakan dokter THT sebelumnya untuk mengecek kuping masing2 juri",50,9 jam yang lalu
@rizkibudiutami3204,Bravo MPR kalian memberi contoh kepada generasi penerus bangsa: 1) yang nyontek akan lebih sukses daripada yang dicontek; 2) yang berani bersuara dan yakin benar pendapatnya akan kalah dengan pihak yang berkuasa. Menuju Indonesia cEMAS tahun 2045. 👏👏👏,77,1 hari yang lalu (diedit)
@Dinasouryey_dino_chan,"Sebenarnya MC dan Dewan juri tinggal jawab ""ya adik2 disini kita membiasakan untuk menerima keputusan pemerintah walau salah dan tidak adil, tapi sebagai rakyat kecil harus selalu legowo dan nerimo, walau jadi korban, pokoknya harus nurut dan manut2 aja ya sebagai masyarakat""",25,1 hari yang lalu
@KAZUHAkaishi,Nyawit juri nya 😂,2,2 jam yang lalu
@amirarief-r6p,"Tahu banget gak enak rasanya. Sy dulu pernah mengalami waktu cerdas cermat SD, jwban yg benar disalahkan oleh juri inkompeten. Rasa kesalnya ga hilang2, sampe skrg 30 thn lebih kemudian gak akan lupa.",22,1 hari yang lalu
@sophieetty,kenapa ga ngeliat tayangan ulang sih? ini mah namanya ga sportif.,187,2 hari yang lalu
@wijayakusuma7350,Selamat kepada Tim C. Kalian adalah juara yang sesungguhnya.  Kami akui jurinya memang gak beres dan begitu mengecewakan.,48,20 jam yang lalu
@mr.neko22,"Juri minus ingatan & pendengaran, apakah ini arti sila ke-5 pancasila?",2,21 menit yang lalu
@Q85-k9p,"MC juga tidak bisa menjadi pembawa acara yg jujur, dengan mengedepankan sikap adil bagi semua. Malah, MC ikut²an membenarkan apa kata juri daripada jawaban si Anak yang sudah menjawab dengan BENAR namun disalahkan oleh juri... Menjijikkan",51,21 jam yang lalu
@Donzz-M,"""Mungkin Perasaan Adik² Saja"" Hitss Hardd BRUH🗣🗣🗣🗣🗣🗣",210,1 hari yang lalu
@bepe234,"menyajikan tontonan positif dengan niat baik yang berujung mempertontonkan kebodohan dan arogansi penyelenggara, dimana ironisnya para juri mewakili lembaga besar seperti MPR",49,1 hari yang lalu
@Galan_sama,"1:12:45 ""dewan juri yang hadir hari ini sudah sangat berkompeten dan sangat teliti.... mungkin ini hanya perasaan adik aja"".... PERASAAN?.... LIAT SIARAN ULANGNYA LU GENTONG",27,1 hari yang lalu
@heloalofficial,Host acara nikahan dipake buat cerdas cermat ya gitu ngawurrr gak bisa jadi penengah,14,20 jam yang lalu
@emanuelzna,"mcnya blunder ternyata, hadeh",11,22 jam yang lalu
@Blueyeti45,"point akhir 😮
Group B:90 Group C:70
 seharusnya 
Group B:80 group C:85",9,14 jam yang lalu
@anonym-j1p,"​ @Blueyeti45 makanya, gilak sih gimana penilaiannyaa, yang seharusnya juara 1 malah juara 2 
😢😢😢😢",2,13 jam yang lalu
@adheatvengeance6417,Aura penjilat dan korup yg sangat kuat gesss,6,19 jam yang lalu
@fajriyan_h,Sebenarnya inkompeten tapi tidak berani menyangkal 😢,3,20 jam yang lalu
@Tamariii.12,Boomer egois gamau salah mana kata katanya masih kalah sopan sama peserta wkwk,1,10 jam yang lalu
@noname-pu1ze,MC nya gak kompeten itu,1,6 jam yang lalu
@anttoxic2724,MC NYA PENJILAT BGT 😂😂,0,3 jam yang lalu
@muhammadiqbalkhoironudin6305,"kalo kata gua mah mc itu sarkas sih buat jurinya ""dewan juri sudah sangat berkompeten dan sangat teliti""",4,18 jam yang lalu
@Xu_Fi_Yan,"Salah, jurinya tidak cerdas dan tidak cermat!",2,6 jam yang lalu
@glorioreksa6421,"Aaaah, totweeet, bener banget. Pengen nangis. :(( :((",0,7 jam yang lalu
@BENYAMIN28,Udah bobrokkk,0,1 hari yang lalu
@firdasalsabell6877,Rill,0,20 jam yang lalu
@gdayum4179,"Nah ini, terang banget faktanya",0,8 jam yang lalu
@anttoxic2724,Mana live pula kebobrokannya 😂😂,0,3 jam yang lalu
@NoritasamsinarSinaga-w3w,"Emosi jiwa liat jurinya, kog bisa jdi juri itu budek",0,1 jam yang lalu
@Faradisinafisah,Kwkwkwk,3,12 jam yang lalu
@RadityaPramanaPutra2001,"Wow, bahkan sebelum saya lahir (pada tahun 2001) pun sudah ada lomba cerdas cermat yang seperti ini? Mudah-mudahan orang lain yang mengalami nasib serupa seperti Anda dulu berani untuk speak up.",0,5 jam yang lalu
@agansuganda4449,"Karna jurinya ngarasa udah keburu malu ka wkk, soalnya  udah bilang duluan bahwa juri berpendapat tidak mendegar itu wkk",37,2 hari yang lalu
@Joan-3ip,Malu2in jadi juri. Pakai kupingmu buat mendengarkan dengan baik.,6,1 hari yang lalu
@noname-pu1ze,​ @Joan-3ip perlu ke Ke THT mungkin juri nya,0,6 jam yang lalu
@IrfanR,"Jurinya gak dengar, kalau yang nonton dengar, tetap kalah ternyata 😂",4,1 hari yang lalu
@fanymohammad7955,"Iyaa loh, MC nya malah o'on juga. Minimal itu MC ya menyimak soal dan jawaban mereka. Nggak malah mengekor gitu, 
 Apakah FORUM SEPERTI INI malah kalah adil dengan Forum komedi Arisan?? Di kuis Arisan aja adil, ada reka ulangnya lohh, lah ini FORUM NEGARA ada Akun resmi Negara malah MEMILUKAN GINI?!

Hooyyyy! Kembalikan uang rakyat!",3,12 jam yang lalu (diedit)
@panjilianorivano7900,mc bilang gini bisa dilihat tayangan ulang ketika acara habis like wtf keburu dimenangin orng lain,2,11 jam yang lalu
@dwisusanto2673,MC juga hasil KKN mungkin.,1,12 jam yang lalu
@aryanimedina1186,Mc nya siapa sih gemes banget oonnya,15,1 hari yang lalu
@LetMeLoveULikeBowoLovedSawit,"Sakit hati gw dengar mc ngomong gitu ke peserta apalagi masih anak-anak. Sebagai mc harusnya tau kalimat yg akan diucapkan bagaimana tanpa memojokkan peserta, ini malah nirempati dan ga professional sama skali.",9,1 hari yang lalu
@nursyamsi2341,"​ @aryanimedina1186  konon katanya mereka berkompeten bang

Konon",3,1 hari yang lalu
@adilwicaksono9,Kata2 yg bikin sakit hati bgt kalo saya yh jadi pesertanya,3,1 hari yang lalu
@Donzz-M,fr,0,1 hari yang lalu
@markusgrayson227,Kalau gua mah langsung banting Mic wkkwkwk biar nyaring tuh satu ruangan 😂,3,23 jam yang lalu
@RaisulFazla,Dari kata katanya sangat mendewakan juri seolah olah juri tidak mungkin salah. Emang keliatan ngebela donatur.,2,23 jam yang lalu
@ketikaandagabut2012,"​@RaisulFazlabiar dapet kursi DPR, jadi ga usah MC weding lagi",0,22 jam yang lalu
@masukkan_teks20,Kurang emote api bang 🔥 🔥,1,15 jam yang lalu
@apriandosilaban3191,"MC wedding sih, ya gini jadinya 😂",0,1 hari yang lalu
@ginginchannel733,"Di gaslighting njiiiir, kasihaaaan banget 😢",0,23 jam yang lalu
@dcahyo26,Info akun ig MC nya,0,23 jam yang lalu
@aji88surya,Asli bg rasanya,0,19 jam yang lalu
@anggadewandjanasihoko,Langsung kalau ketemu d jalan penggal aja bre kelamaan 😂,0,7 jam yang lalu
@anttoxic2724,MC PENJILAT😂😂,0,3 jam yang lalu
@muhammadhafiz-qf3ud,"udah salah tetep ngeyel wkwk dan tidak ingin dikritik, ngasih dampak buruk bagi masa depan bangsa",4,16 jam yang lalu
@Hardiedie,Di Indonesia ini. Tidak kekurangan. Orang pintar. Hanya saja kekurangan. Orang jujur😊,93,1 hari yang lalu
@cupapimunyenyox,"kasih juara 1 nya ke GRUP C dong, tolong di proses anulir juaranya, ga adil soalnya",52,22 jam yang lalu
@nurulatqiya9934,"Viralkan! Jelas banget gak adil, hal kayak begini bisa dilihat oleh semua orang ya, yg seharusnya menang malah gak jadi menang, yggak seharusnya menang apakah gak malu 😒",27,1 hari yang lalu
@jonathanalfredooo,"Jadi inget film laskar pelangi waktu lintang menjawab pertanyaan terakhir awalnya disalahkan akhirnya juri minta maaf dan jawabannya benar bahkan endingnya sd muhammadiyah jadi juara 1, tapi tidak dengan yang ada di video ini😢",29,10 jam yang lalu
@americanocharise,"Adil, teliti dan kompeten.
menit ke 1:10:10 

Tim SMAN 1 PTK telah menjawab dengan artikulasi yang memang lumrah bagi orang yang berkompetisi seperti cerdas cermat. Substansi jawaban sama didapatkan, tapi malah diberlakukan salah dan soal dilempar hanya untuk direbut dengan jawaban yang persis sama. Kalian boleh cek. Persis sama.

Permasalahkan artikulasi? oke, artikulasi yang dimaksud pelafalan bisa didengarkan kata per kata ya, jelas? iya. Misal, yang dimaksud juri adalah keterdengadan secara langsung, saya kembalikan lagi, mereka tidak pakai mic clipped on, itu adalah mic genggam yang sama dengan yang didengar juri. Soal jarak? bahkan jarak kamera dan mic liputan ini jaraknya jauh jauh melebihi jarak peserta C2 dan juri. 

Menjadi pertanyaan, kenapa dua jawaban yang sama satu tertolak dan satu diterima dengan embel-embel 'artikulasi', kalau juri tidak yakin dengan apa yang didengarnya -- seperti soal lain yang sudah sudah bisa kok, ditanyakan kembali ke peserta, bahwa tidak terdengar jelas. Dalam kurun waktu, peserta pasti bisa menjawab. Kecuali juri memang tidak terbiasa dengan tempo bicara yang lumrah lebih cepat yang padahal karakteristik anak lomba ketika bersinggungan waktu dan strategi.

Saya harap kelalaian juri yang tidak fokus dalam memberikan penilaian memberikan keterangan dan keputusan sepihak tidak merugikan peserta. Keputusan juri memang bersifat final, tapi haruslah yang memang dipertimbangkan, didengar dan diperiksa terlebih dahulu sebelum memutus perkara.",148,2 hari yang lalu
@thor9954,1:10:30,1,4 jam yang lalu
@MobileLegends-hu4hp,"total poin artinya jika dak ada insiden budeg
timA 45
tim B 80 (krena tdk ada kesempatan mjwab kren C sudah benar)
tim C 85 (krena dpt tambhan 10 dan tdk ada -5)
artinya 1 jawaban yg kontroversi itu sngt berpengaruh utk kemenangan shingga juri, mc dan penyelnggara wajib utk klarifikasi dan memperbaiki hsil akhir.",27,14 jam yang lalu
@habillahi_tri_wiyoga5510,"Semoga Adeknya masuk podcast dan jadi terkenal, Aamiin🤲",57,13 jam yang lalu
@riodhimaz4730,"Semua Juri tidak bisa menerima kritik, host juga merendahkan peserta, tim lawan tidak sportif. Sungguh kompetisi yang sangat memalukan",62,1 hari yang lalu (diedit)
@ReusingAir7,Kurangnya fokus juri disini dibilang kompeten?,134,3 hari yang lalu
@dwirachmawan4596,"""yg boleh keberatan dan mengajukan protes hanya peserta, tp keputusan dewan juri bersifat mutlak"" sungguh peraturan otoriter",49,8 jam yang lalu
@faizalizatulislam979,"Ga sportif harus nya bukan di jawab subjektif dengan perasaan tapi bukti dan data objektif dengan tayangan ulang, kata nya juri kompeten",22,1 hari yang lalu
@bunbunyu9390,kawal terus,0,4 jam yang lalu
@senku5644,contoh nyata mereka tidak mau mendengar suara rakyat,21,1 hari yang lalu
@udtsskcj,"Ada 3 kemungkinan :
1. Juri bayaran 
2. Juri budeg/tuli
3. Juri punya hubungan dengan anggota B, terutama anggota B4",74,10 jam yang lalu
@IcaSyafrilli,"Ngeledek nih jurinya ya ampun, sejelas itu loh artikulasinya, manalah kompeten wkwk",89,2 hari yang lalu
@NurJimy-y7w,"Salah satu contoh kenapa suara rakyat hanya berfungsi saat pemilu doang, tapi keren mbaknya menjunjung harga diri sebagai suara rakyat yg minta keadilan seperti melihat sesosok Ra kartini",0,24 menit yang lalu
@tasmiamaliah080,"mc yg mengagungkan kata suportif, tapi lihat yang kalian lakukan sama sekali tidak menunjukkan ke suportifan tersebut.

sangat disayangkan kompetisi dengan tingkat yg sudah tidak diragukan lagi tapi kompetensi juri lah yg perlu di tanyakan.

saya butuh keadilan untuk adik"" ini sebagai calon penerus bangsa yang lebih baik.",179,1 hari yang lalu
@reyy9297,TUAAA ANTI KRITIK IWHH BANGET BUDEG LAGI,28,1 hari yang lalu
@N0pri,Kurang keduanya sih,3,1 hari yang lalu
@muhamadsandykhoirun9117,"Kalo dia emang pinter, harusnya daya kritisnya jalan. Dan terlihat sekali juri di sini ga punya daya kritis sama sekali",1,1 hari yang lalu
@Fikri22327x,"​ @muhamadsandykhoirun9117  daya kritis itu menjelaskan kenapa salah, kenapa benar diperjelas lagi, ini malah menimbang-nimbang, agak lain jurinya",0,22 jam yang lalu
@NazmizanHamdiFathansyah,Emang jurinya pinter ?,0,1 hari yang lalu
@dwisusanto2673,Sekelas MPR bikin lomba saja korupsi m. Wqwqwq,0,12 jam yang lalu
@FahirasalwaAfifa,Iy bang tp itu ini negri konoha bang bukn laskar pelangi😂,1,6 jam yang lalu
@jonathanalfredooo,"​ @FahirasalwaAfifa tapi itu ini negeri konoha gimana, dikira film laskar pelangi dari negeri ratu elizabeth, negeri paman sam, negeri ayam jantan, atau negeri kangguru gitu🙄🤔😑",1,5 jam yang lalu
@RadityaPramanaPutra2001,​ @FahirasalwaAfifa  Kalau bahasa kerennya: Hidup tidak harus seperti film.,0,5 jam yang lalu
@argramediafrani5852,"Itu translator ke bahasa isyarat aja dengar, itu jurinya telinganya conge apa gimana",3,1 hari yang lalu
@jaehahaheh123,Tolong lindungi adik pemberani ini,2,15 jam yang lalu
@gagasjamalludin2898,"Betul sekali,",0,10 jam yang lalu
@yurikacha3531,Ya harusnya grup C yg menang,0,9 jam yang lalu
@denayfandi9722,"Betul total poin Pontianak 85
Sambas 80",0,8 jam yang lalu
@muhamadnurdin5878,Bentar lagi di panggil di podcast densu,2,7 jam yang lalu
@glorioreksa6421,"​ @muhamadnurdin5878 wah, serius bro? Nangis gua, haru, gak sabar penen nonton.❤❤❤",0,6 jam yang lalu
@memedum-r2t,Aamiin,1,4 jam yang lalu
@glorioreksa6421,"Up up up up up up up, please! 100000 percent setuju.❤❤❤",0,7 jam yang lalu
@EduardoSirait,"Kenapa yang disalahin tim lawan juga? Jelas jelas itu kesalahan Dewan juri dan MC, kok yg disalahin tim lawan?",1,23 jam yang lalu
@daniRasyid-m7m,​@EduardoSiraitya tetap lawan salah . Dia tdk berintegritas . Jelasjawaban grub C . Tp maen sikat aja.,0,19 jam yang lalu
@nikodemusdhanisworo3273,​@EduardoSiraitjelas salah harusnya tim lawan juga minta cek ulang juga,0,15 jam yang lalu
@ratkom3032,Itulah gambaran indonesia sdh salah anti kritik lg..,1,23 jam yang lalu
@adnanadiyasta8203,Pesanan orang dalam,0,2 jam yang lalu
@erruuu-L,Kompeten budeg berjamaah,2,1 hari yang lalu
@noname-pu1ze,"​ @erruuu-L udah budeg, egois, gak mau Nerima kritikan, nyalahin artikulasi peserta yang padahal artikulasinya menurut saya sudah jelas dan dapat dengan mudah dipahami",0,6 jam yang lalu
@IrfanR,Aneh juga moderatornya 😂,1,1 hari yang lalu
@iwankhoiri18,Teliti katanya😂😂😂😂,0,1 hari yang lalu
@akbarrddfy,keburu malu itu juri 😅,0,1 hari yang lalu
@Redoo-cornelius,Malah ngomongnya artikulasi lagi,0,22 jam yang lalu
@noname-pu1ze,"​ @Redoo-cornelius juri nya bisa ngomong ""RRRRRRR"" gak?",0,6 jam yang lalu
@prodence9563,4.juri nyawit,1,5 jam yang lalu
@berbagiilmu-p2c,Sudah 2X jawaban minta d ulang,0,9 jam yang lalu
@SEGERRR_DADDY,JURIG,0,4 jam yang lalu
@jakkufurosto,Malah si juri yang artikulasinya kurang wkwkwk,5,1 hari yang lalu
@fitriannisa9050,1:16:44 Artikulasi jurinya 😂😂,4,1 hari yang lalu
@jaehahaheh123,"""mungkin hanya perasaan adik-adik saja""",1,15 jam yang lalu
@firdasalsabell6877,Jurinya yg budeg kak,0,20 jam yang lalu
@muhammadizzuddin7323,arrkkhhtikulasi diperkhhatikan,1,1 hari yang lalu
@affan71smp1prm,​ @muhammadizzuddin7323  tapi artikulasi nya kan sama dengan tim b,0,1 hari yang lalu
@DeslianaNur,"Kasihan pasti itu malu,sedih,marah jadi satu,mau bersuara tapi takut di bungkam dan di susahkan nantinya, semoga deh mereka dapet keadilan 😢",13,1 hari yang lalu
@RudiYanto-p8h,Kalau 1:12:12 seandainya juri memang sudah cerdas maka tidak by teks. Karena kalo by teks gitu jelas beliau ketinggalan mendengarkan jawaban bersamaan saat membaca jawaban di kunci jawabannya.,15,1 hari yang lalu
@A.MChannel,"Kalo ga minus 5 harusnya yang pontianak punya nilai 85, dan kelompok B nilai 80. Harusnya yang menang kelompok C",170,1 hari yang lalu
@laca0nnn__,"POKOKNYA HARUS KLARIFIKASI JURI SM MC, MASA IYA SEKELAS MC BUAT NYELESAIIN MASALAH MASA AKUN LANGSUNG DIPRIVAT 😛😛😛😛",62,1 hari yang lalu
@alstar22-c1s,"Preseden buruk untuk pendidikan nasional kita, Aib yg sangat memalukan ketika juri dengan terang-terangan memperlihatkan dgn gamblangnya kecurangan yang seharusnya jadi pemberi nilai yg Adil malah disini terlihat juri berpihak ke salah satu sekolah, bagaimana mungkin 2 jawaban yang sama dgn 1 di beri nilai Minus dan yg lainnya di beri nilai tertinggi dan 2 pembelaan juri yang sangat membagongkan, di depan umum dan tayangan YouTube resmi lembaga negara mempertontonkan cara licik ini.. Blacklist 2 orang juri busuk ini di semua acara resmi lembaga negara dan mereka harus mengakui permainan busuknya di acara LCC MPR RI Kalbar ini..",1,5 menit yang lalu
@candraalfathir,"Saya kecewa dg juri tidak adil & jujur,umur bukan tolak ukur untuk di hormati tp dg jujur menerima kesalahan itu baru penghormatan yg sejati....god job grup C...salam dari sambas❤",20,23 jam yang lalu
@americanocharise,"""tapi skornya jauh"", 
""posisinya memang seperti itu"" 

coba kalau belum bisa hitungnya, dibuka dulu yuk catatan, kita hitung bareng-bareng

1 soal benar = 10 poin
1 soal salah = -5

disini smansa ptk = 70. (semisal) mendapat pembenaran maka poin minusnya kita hilangkan karena tidak salah (dikembalikan 5 poin) kemudian ditambah karena memang jawabannya benar (ditambah 10 poin) maka total poin yang terambil dari smansa ptk hanya karena satu soal ini adalah 15 poin. 

Berarti, poin akhir semestinya adalah 85 dari smansa ptk.

Kemudian karena lemparan itu memang seharusnya tidak ada sedari awal, maka tidak ada penambahan nilai 10 kepada tim smansa sambas sehingga poin akhir semestinya mereka adalah 80 poin.

Terlihat ketika kita telaah bahwa 15 poin itu angka yang besar. Membuat seharusnya smansa ptk unggul 5 poin. Karena esensi kompetisi memang haruslah cerdas, cermat dan tepat.",156,2 hari yang lalu
@devryrolandosaiya6717,"Sungguh miris Indonesia, apalagi untuk lembaga sekelas MPR . Sudah jelas-jelas tau salah, tapi tetap membiarkan. Mau heran tapi inilah MPR, keputusan salah malah dilanjutkan, bukan nya dibatalkan malah lanjut",11,23 jam yang lalu
@mighty9106,Wadooo,0,4 jam yang lalu
@xxxyy7452,oh gini ya rasanya ketika hakim indonesia tpi bukan dipengadilan sama' ngeselin,196,1 hari yang lalu
@inuechintia,1:10:23 VAR biar gk BUDEG & ANTI KRITIK.,68,1 hari yang lalu (diedit)
@Carissa_P_M,"LOL banget ""perasaan adek saja"" kalo gak dengar ya jangan di mines coba kek bilang jangan gengsi kalau gak dengar tanya aja ""bisa lebih pelan jawab nya"" apalah kasian itu malah tambah dinasehatin, gwe aja sini ke situ cuma lihat kertas dan gak ngedengarin lan bisa lah  ngakak udah tingkat apa lag ini,klarifikasi kasian korban nya anak sekolah juga di pojokkan juri sebanyak itu gak ada yang merasa salah ya ampun 😂😂😂😂",22,1 hari yang lalu
@Savyyde,"pak /buk saran saya anda kalau sudah salah jangan nyolot anda ini mpr ri yang gaji kalian juga rakyat jelas jelas jawaban nya sama minimal kalau otak udah gabisa di pakai telinga di pakai pak jadi bisa mendegarkan jawaban nya dengan benar, gimana ini katanya mc juri nya udah teliti dan berkompeten, kompeten apanya ini adil aja tidak",3,1 jam yang lalu
@LkKaca,"Semua adik-adik grub C, kalianlah pemenang dihati kami❤",15,1 hari yang lalu
@kiyaasaidhey,"1:11:41   BESARIN SUARANYA KAKA, JANGAN SOFT SPOKEN GITU, HARUS EMOSI KAKAK 🥰🥰🥰🥰",46,1 hari yang lalu
@Pipindra-f8y,"Usut dan pecat jurinya.
Inilah bukti kinerja selama ini.
Mereka juga gak paham jawabannya, kalo tidak melihat contekan.
Sekelas acara bergengsi bisa kayak gini memalukan.",13,8 jam yang lalu
@DinoDina16april202,Gk ada cek var apa gimana sih,1,1 jam yang lalu
@cristiandavis6134,Keadilan untuk SMAN 1 Pontianak!,35,1 hari yang lalu
