username,comment,likes,time,likes_clean,days_ago,text_length,comment_clean,comment_normalized,comment_final,sentiment
@anonym-j1p,"​ @Blueyeti45 makanya, gilak sih gimana penilaiannyaa, yang seharusnya juara 1 malah juara 2 
😢😢😢😢",2,13 jam yang lalu,2,0,99,makanya gilak sih gimana penilaiannyaa yang seharusnya juara malah juara,makanya gila sih bagaimana penilaiannyaa yang seharusnya juara malah juara,makanya gila bagaimana penilaiannyaa juara malah juara,0
@adheatvengeance6417,Aura penjilat dan korup yg sangat kuat gesss,6,19 jam yang lalu,6,0,44,aura penjilat dan korup yg sangat kuat gesss,aura penjilat dan korup yang sangat kuat ges,aura penjilat korup sangat kuat ges,1
@fajriyan_h,Sebenarnya inkompeten tapi tidak berani menyangkal 😢,3,20 jam yang lalu,3,0,52,sebenarnya inkompeten tapi tidak berani menyangkal,sebenarnya inkompeten tapi tidak berani menyangkal,sebenarnya inkompeten tidak berani menyangkal,1
@Tamariii.12,Boomer egois gamau salah mana kata katanya masih kalah sopan sama peserta wkwk,1,10 jam yang lalu,1,0,78,boomer egois gamau salah mana kata katanya masih kalah sopan sama peserta wkwk,boomer egois tidak mau salah mana kata katanya masih kalah sopan sama peserta wkwk,boomer egois tidak salah mana kata katanya kalah sopan peserta,0
@noname-pu1ze,MC nya gak kompeten itu,1,6 jam yang lalu,1,0,23,mc nya gak kompeten itu,mc ya tidak kompeten itu,mc tidak kompeten,0
@anttoxic2724,MC NYA PENJILAT BGT 😂😂,0,3 jam yang lalu,0,0,22,mc nya penjilat bgt,mc ya penjilat banget,mc penjilat,0
@muhammadiqbalkhoironudin6305,"kalo kata gua mah mc itu sarkas sih buat jurinya ""dewan juri sudah sangat berkompeten dan sangat teliti""",4,18 jam yang lalu,4,0,104,kalo kata gua mah mc itu sarkas sih buat jurinya dewan juri sudah sangat berkompeten dan sangat teliti,kalau kata gua mah mc itu sarkas sih buat jurinya dewan juri sudah sangat berkompeten dan sangat teliti,kata gua mah mc sarkas buat jurinya dewan juri sangat berkompeten sangat teliti,0
@Xu_Fi_Yan,"Salah, jurinya tidak cerdas dan tidak cermat!",2,6 jam yang lalu,2,0,45,salah jurinya tidak cerdas dan tidak cermat,salah jurinya tidak cerdas dan tidak cermat,salah jurinya tidak cerdas tidak cermat,0
@glorioreksa6421,"Aaaah, totweeet, bener banget. Pengen nangis. :(( :((",0,7 jam yang lalu,0,0,53,aaaah totweeet bener banget pengen nangis,ah totwet benar banget pengin menangis,ah totwet benar pengin menangis,1
@BENYAMIN28,Udah bobrokkk,0,1 hari yang lalu,0,1,13,udah bobrokkk,sudah bobrok,bobrok,0
@firdasalsabell6877,Rill,0,20 jam yang lalu,0,0,4,rill,rill,rill,1
@gdayum4179,"Nah ini, terang banget faktanya",0,8 jam yang lalu,0,0,31,nah ini terang banget faktanya,nah ini terang banget faktanya,terang faktanya,1
@anttoxic2724,Mana live pula kebobrokannya 😂😂,0,3 jam yang lalu,0,0,31,mana live pula kebobrokannya,mana live pula kebobrokannya,mana live kebobrokannya,0
@NoritasamsinarSinaga-w3w,"Emosi jiwa liat jurinya, kog bisa jdi juri itu budek",0,1 jam yang lalu,0,0,52,emosi jiwa liat jurinya kog bisa jdi juri itu budek,emosi jiwa lihat jurinya kok bisa jadi juri itu budek,emosi jiwa lihat jurinya juri budek,0
@Faradisinafisah,Kwkwkwk,3,12 jam yang lalu,3,0,7,kwkwkwk,kwkwkwk,kwkwkwk,1
@RadityaPramanaPutra2001,"Wow, bahkan sebelum saya lahir (pada tahun 2001) pun sudah ada lomba cerdas cermat yang seperti ini? Mudah-mudahan orang lain yang mengalami nasib serupa seperti Anda dulu berani untuk speak up.",0,5 jam yang lalu,0,0,194,wow bahkan sebelum saya lahir pada tahun pun sudah ada lomba cerdas cermat yang seperti ini mudah mudahan orang lain yang mengalami nasib serupa seperti anda dulu berani untuk speak up,wow bahkan sebelum saya lahir pada tahun pun sudah ada lomba cerdas cermat yang seperti ini mudah mudahan orang lain yang mengalami nasib serupa seperti anda dulu berani untuk speak up,wow bahkan lahir tahun lomba cerdas cermat mudah mudahan mengalami nasib serupa dulu berani speak up,1
@agansuganda4449,"Karna jurinya ngarasa udah keburu malu ka wkk, soalnya  udah bilang duluan bahwa juri berpendapat tidak mendegar itu wkk",37,2 hari yang lalu,37,2,120,karna jurinya ngarasa udah keburu malu ka wkk soalnya udah bilang duluan bahwa juri berpendapat tidak mendegar itu wkk,karena jurinya ngarasa sudah keburu malu kak wkk soalnya sudah bilang duluan bahwa juri berpendapat tidak mendegar itu wkk,jurinya ngarasa keburu malu wkk soalnya bilang duluan juri berpendapat tidak mendegar wkk,0
@Joan-3ip,Malu2in jadi juri. Pakai kupingmu buat mendengarkan dengan baik.,6,1 hari yang lalu,6,1,64,malu in jadi juri pakai kupingmu buat mendengarkan dengan baik,malu ini jadi juri pakai kupingmu buat mendengarkan dengan baik,malu juri pakai kupingmu buat mendengarkan baik,0
@noname-pu1ze,​ @Joan-3ip perlu ke Ke THT mungkin juri nya,0,6 jam yang lalu,0,0,44,ip perlu ke ke tht mungkin juri nya,ip perlu ke ke tht mungkin juri ya,ip perlu tht juri,0
@IrfanR,"Jurinya gak dengar, kalau yang nonton dengar, tetap kalah ternyata 😂",4,1 hari yang lalu,4,1,68,jurinya gak dengar kalau yang nonton dengar tetap kalah ternyata,jurinya tidak dengar kalau yang menonton dengar tetap kalah ternyata,jurinya tidak dengar menonton dengar tetap kalah ternyata,0
@fanymohammad7955,"Iyaa loh, MC nya malah o'on juga. Minimal itu MC ya menyimak soal dan jawaban mereka. Nggak malah mengekor gitu, 
 Apakah FORUM SEPERTI INI malah kalah adil dengan Forum komedi Arisan?? Di kuis Arisan aja adil, ada reka ulangnya lohh, lah ini FORUM NEGARA ada Akun resmi Negara malah MEMILUKAN GINI?!

Hooyyyy! Kembalikan uang rakyat!",3,12 jam yang lalu (diedit),3,0,337,iyaa loh mc nya malah o on juga minimal itu mc ya menyimak soal dan jawaban mereka nggak malah mengekor gitu apakah forum seperti ini malah kalah adil dengan forum komedi arisan di kuis arisan aja adil ada reka ulangnya lohh lah ini forum negara ada akun resmi negara malah memilukan gini hooyyyy kembalikan uang rakyat,iya loh mc ya malah o on juga minimal itu mc ya menyimak soal dan jawaban mereka tidak malah mengekor begitu apakah forum seperti ini malah kalah adil dengan forum komedi arisan di kuis arisan saja adil ada reka ulangnya loh lah ini forum negara ada akun resmi negara malah memilukan begini hooy kembalikan uang rakyat,mc malah o on minimal mc menyimak soal jawaban tidak malah mengekor forum malah kalah adil forum komedi arisan kuis arisan adil reka ulangnya forum negara resmi negara malah memilukan hooy kembalikan uang rakyat,0
@panjilianorivano7900,mc bilang gini bisa dilihat tayangan ulang ketika acara habis like wtf keburu dimenangin orng lain,2,11 jam yang lalu,2,0,98,mc bilang gini bisa dilihat tayangan ulang ketika acara habis like wtf keburu dimenangin orng lain,mc bilang begini bisa dilihat tayangan ulang ketika acara habis like wtf keburu dimenangin orang lain,mc bilang dilihat tayangan ulang acara habis like wtf keburu dimenangin,0
@dwisusanto2673,MC juga hasil KKN mungkin.,1,12 jam yang lalu,1,0,26,mc juga hasil kkn mungkin,mc juga hasil kkn mungkin,mc hasil kkn,0
@aryanimedina1186,Mc nya siapa sih gemes banget oonnya,15,1 hari yang lalu,15,1,36,mc nya siapa sih gemes banget oonnya,mc ya siapa sih gemas banget oonnya,mc gemas oonnya,0
@LetMeLoveULikeBowoLovedSawit,"Sakit hati gw dengar mc ngomong gitu ke peserta apalagi masih anak-anak. Sebagai mc harusnya tau kalimat yg akan diucapkan bagaimana tanpa memojokkan peserta, ini malah nirempati dan ga professional sama skali.",9,1 hari yang lalu,9,1,210,sakit hati gw dengar mc ngomong gitu ke peserta apalagi masih anak anak sebagai mc harusnya tau kalimat yg akan diucapkan bagaimana tanpa memojokkan peserta ini malah nirempati dan ga professional sama skali,sakit hati gue dengar mc mengomong begitu ke peserta apalagi masih anak anak sebagai mc harusnya tau kalimat yang akan diucapkan bagaimana tanpa memojokkan peserta ini malah nirempati dan tidak professional sama sekali,sakit hati gue dengar mc mengomong peserta anak anak mc harusnya tau kalimat diucapkan bagaimana memojokkan peserta malah nirempati tidak professional sekali,0
@nursyamsi2341,"​ @aryanimedina1186  konon katanya mereka berkompeten bang

Konon",3,1 hari yang lalu,3,1,67,konon katanya mereka berkompeten bang konon,konon katanya mereka berkompeten abang konon,konon katanya berkompeten abang konon,1
@adilwicaksono9,Kata2 yg bikin sakit hati bgt kalo saya yh jadi pesertanya,3,1 hari yang lalu,3,1,58,kata yg bikin sakit hati bgt kalo saya yh jadi pesertanya,kata yang bikin sakit hati banget kalau saya ya jadi pesertanya,kata bikin sakit hati pesertanya,1
@Donzz-M,fr,0,1 hari yang lalu,0,1,2,fr,fr,fr,1
@markusgrayson227,Kalau gua mah langsung banting Mic wkkwkwk biar nyaring tuh satu ruangan 😂,3,23 jam yang lalu,3,0,74,kalau gua mah langsung banting mic wkkwkwk biar nyaring tuh satu ruangan,kalau gua mah langsung banting mic wkkwkwk biar nyaring tuh satu ruangan,gua mah langsung banting mic wkkwkwk biar nyaring satu ruangan,1
@RaisulFazla,Dari kata katanya sangat mendewakan juri seolah olah juri tidak mungkin salah. Emang keliatan ngebela donatur.,2,23 jam yang lalu,2,0,110,dari kata katanya sangat mendewakan juri seolah olah juri tidak mungkin salah emang keliatan ngebela donatur,dari kata katanya sangat mendewakan juri seolah olah juri tidak mungkin salah memang kelihatan membela donatur,kata katanya sangat mendewakan juri olah juri tidak salah kelihatan membela donatur,0
@ketikaandagabut2012,"​@RaisulFazlabiar dapet kursi DPR, jadi ga usah MC weding lagi",0,22 jam yang lalu,0,0,62,dapet kursi dpr jadi ga usah mc weding lagi,dapat kursi dpr jadi tidak usah mc weding lagi,kursi dpr tidak usah mc weding,0
@masukkan_teks20,Kurang emote api bang 🔥 🔥,1,15 jam yang lalu,1,0,25,kurang emote api bang,kurang emote api abang,kurang emote api abang,1
@apriandosilaban3191,"MC wedding sih, ya gini jadinya 😂",0,1 hari yang lalu,0,1,33,mc wedding sih ya gini jadinya,mc wedding sih ya begini jadinya,mc wedding jadinya,0
@ginginchannel733,"Di gaslighting njiiiir, kasihaaaan banget 😢",0,23 jam yang lalu,0,0,43,di gaslighting njiiiir kasihaaaan banget,di gaslighting anjir kasihan banget,gaslighting anjir kasihan,0
@dcahyo26,Info akun ig MC nya,0,23 jam yang lalu,0,0,19,info akun ig mc nya,info akun ig mc ya,info ig mc,0
@aji88surya,Asli bg rasanya,0,19 jam yang lalu,0,0,15,asli bg rasanya,asli bang rasanya,asli rasanya,1
@anggadewandjanasihoko,Langsung kalau ketemu d jalan penggal aja bre kelamaan 😂,0,7 jam yang lalu,0,0,56,langsung kalau ketemu d jalan penggal aja bre kelamaan,langsung kalau ketemu di jalan penggal saja bre kelamaan,langsung ketemu jalan penggal bre kelamaan,1
@anttoxic2724,MC PENJILAT😂😂,0,3 jam yang lalu,0,0,13,mc penjilat,mc penjilat,mc penjilat,0
@muhammadhafiz-qf3ud,"udah salah tetep ngeyel wkwk dan tidak ingin dikritik, ngasih dampak buruk bagi masa depan bangsa",4,16 jam yang lalu,4,0,97,udah salah tetep ngeyel wkwk dan tidak ingin dikritik ngasih dampak buruk bagi masa depan bangsa,sudah salah tetap ngeyel wkwk dan tidak ingin dikritik mengasih dampak buruk bagi masa depan bangsa,salah tetap ngeyel tidak dikritik mengasih dampak buruk masa depan bangsa,0
@Hardiedie,Di Indonesia ini. Tidak kekurangan. Orang pintar. Hanya saja kekurangan. Orang jujur😊,93,1 hari yang lalu,93,1,85,di indonesia ini tidak kekurangan orang pintar hanya saja kekurangan orang jujur,di indonesia ini tidak kekurangan orang pintar hanya saja kekurangan orang jujur,indonesia tidak kekurangan pintar kekurangan jujur,1
@cupapimunyenyox,"kasih juara 1 nya ke GRUP C dong, tolong di proses anulir juaranya, ga adil soalnya",52,22 jam yang lalu,52,0,83,kasih juara nya ke grup c dong tolong di proses anulir juaranya ga adil soalnya,kasih juara ya ke grup sih dong tolong di proses anulir juaranya tidak adil soalnya,kasih juara grup proses anulir juaranya tidak adil soalnya,0
@nurulatqiya9934,"Viralkan! Jelas banget gak adil, hal kayak begini bisa dilihat oleh semua orang ya, yg seharusnya menang malah gak jadi menang, yggak seharusnya menang apakah gak malu 😒",27,1 hari yang lalu,27,1,169,viralkan jelas banget gak adil hal kayak begini bisa dilihat oleh semua orang ya yg seharusnya menang malah gak jadi menang yggak seharusnya menang apakah gak malu,viralkan jelas banget tidak adil hal kayak begini bisa dilihat oleh semua orang ya yang seharusnya menang malah tidak jadi menang yggak seharusnya menang apakah tidak malu,viralkan jelas tidak adil dilihat menang malah tidak menang yggak menang tidak malu,0
@jonathanalfredooo,"Jadi inget film laskar pelangi waktu lintang menjawab pertanyaan terakhir awalnya disalahkan akhirnya juri minta maaf dan jawabannya benar bahkan endingnya sd muhammadiyah jadi juara 1, tapi tidak dengan yang ada di video ini😢",29,10 jam yang lalu,29,0,226,jadi inget film laskar pelangi waktu lintang menjawab pertanyaan terakhir awalnya disalahkan akhirnya juri minta maaf dan jawabannya benar bahkan endingnya sd muhammadiyah jadi juara tapi tidak dengan yang ada di video ini,jadi ingat film laskar pelangi waktu lintang menjawab pertanyaan terakhir awalnya disalahkan akhirnya juri meminta maaf dan jawabannya benar bahkan endingnya sd muhammadiyah jadi juara tapi tidak dengan yang ada di video ini,ingat film laskar pelangi waktu lintang menjawab pertanyaan terakhir awalnya disalahkan akhirnya juri meminta maaf jawabannya benar bahkan endingnya sd muhammadiyah juara tidak video,0
@americanocharise,"Adil, teliti dan kompeten.
menit ke 1:10:10 

Tim SMAN 1 PTK telah menjawab dengan artikulasi yang memang lumrah bagi orang yang berkompetisi seperti cerdas cermat. Substansi jawaban sama didapatkan, tapi malah diberlakukan salah dan soal dilempar hanya untuk direbut dengan jawaban yang persis sama. Kalian boleh cek. Persis sama.

Permasalahkan artikulasi? oke, artikulasi yang dimaksud pelafalan bisa didengarkan kata per kata ya, jelas? iya. Misal, yang dimaksud juri adalah keterdengadan secara langsung, saya kembalikan lagi, mereka tidak pakai mic clipped on, itu adalah mic genggam yang sama dengan yang didengar juri. Soal jarak? bahkan jarak kamera dan mic liputan ini jaraknya jauh jauh melebihi jarak peserta C2 dan juri. 

Menjadi pertanyaan, kenapa dua jawaban yang sama satu tertolak dan satu diterima dengan embel-embel 'artikulasi', kalau juri tidak yakin dengan apa yang didengarnya -- seperti soal lain yang sudah sudah bisa kok, ditanyakan kembali ke peserta, bahwa tidak terdengar jelas. Dalam kurun waktu, peserta pasti bisa menjawab. Kecuali juri memang tidak terbiasa dengan tempo bicara yang lumrah lebih cepat yang padahal karakteristik anak lomba ketika bersinggungan waktu dan strategi.

Saya harap kelalaian juri yang tidak fokus dalam memberikan penilaian memberikan keterangan dan keputusan sepihak tidak merugikan peserta. Keputusan juri memang bersifat final, tapi haruslah yang memang dipertimbangkan, didengar dan diperiksa terlebih dahulu sebelum memutus perkara.",148,2 hari yang lalu,148,2,1508,adil teliti dan kompeten menit ke tim sman ptk telah menjawab dengan artikulasi yang memang lumrah bagi orang yang berkompetisi seperti cerdas cermat substansi jawaban sama didapatkan tapi malah diberlakukan salah dan soal dilempar hanya untuk direbut dengan jawaban yang persis sama kalian boleh cek persis sama permasalahkan artikulasi oke artikulasi yang dimaksud pelafalan bisa didengarkan kata per kata ya jelas iya misal yang dimaksud juri adalah keterdengadan secara langsung saya kembalikan lagi mereka tidak pakai mic clipped on itu adalah mic genggam yang sama dengan yang didengar juri soal jarak bahkan jarak kamera dan mic liputan ini jaraknya jauh jauh melebihi jarak peserta c dan juri menjadi pertanyaan kenapa dua jawaban yang sama satu tertolak dan satu diterima dengan embel embel artikulasi kalau juri tidak yakin dengan apa yang didengarnya seperti soal lain yang sudah sudah bisa kok ditanyakan kembali ke peserta bahwa tidak terdengar jelas dalam kurun waktu peserta pasti bisa menjawab kecuali juri memang tidak terbiasa dengan tempo bicara yang lumrah lebih cepat yang padahal karakteristik anak lomba ketika bersinggungan waktu dan strategi saya harap kelalaian juri yang tidak fokus dalam memberikan penilaian memberikan keterangan dan keputusan sepihak tidak merugikan peserta keputusan juri memang bersifat final tapi haruslah yang memang dipertimbangkan didengar dan diperiksa terlebih dahulu sebelum memutus perkara,adil teliti dan kompeten menit ke tim sman ptk telah menjawab dengan artikulasi yang memang lumrah bagi orang yang berkompetisi seperti cerdas cermat substansi jawaban sama didapatkan tapi malah diberlakukan salah dan soal dilempar hanya untuk direbut dengan jawaban yang persis sama kalian boleh cek persis sama permasalahkan artikulasi oke artikulasi yang dimaksud pelafalan bisa didengarkan kata per kata ya jelas iya misal yang dimaksud juri adalah keterdengadan secara langsung saya kembalikan lagi mereka tidak pakai mic clipped on itu adalah mic genggam yang sama dengan yang didengar juri soal jarak bahkan jarak kamera dan mic liputan ini jaraknya jauh jauh melebihi jarak peserta sih dan juri menjadi pertanyaan kenapa dua jawaban yang sama satu tertolak dan satu diterima dengan embel embel artikulasi kalau juri tidak yakin dengan apa yang didengarnya seperti soal lain yang sudah sudah bisa kok ditanyakan kembali ke peserta bahwa tidak terdengar jelas dalam kurun waktu peserta pasti bisa menjawab kecuali juri memang tidak terbiasa dengan tempo bicara yang lumrah lebih cepat yang padahal karakteristik anak lomba ketika bersinggungan waktu dan strategi saya harap kelalaian juri yang tidak fokus dalam memberikan penilaian memberikan keterangan dan keputusan sepihak tidak merugikan peserta keputusan juri memang bersifat final tapi haruslah yang memang dipertimbangkan didengar dan diperiksa terlebih dahulu sebelum memutus perkara,adil teliti kompeten menit tim sman ptk menjawab artikulasi lumrah berkompetisi cerdas cermat substansi jawaban didapatkan malah diberlakukan salah soal dilempar direbut jawaban persis cek persis permasalahkan artikulasi oke artikulasi dimaksud pelafalan didengarkan kata per kata jelas misal dimaksud juri keterdengadan langsung kembalikan tidak pakai mic clipped on mic genggam didengar juri soal jarak bahkan jarak kamera mic liputan jaraknya jauh jauh melebihi jarak peserta juri menjadi pertanyaan jawaban satu tertolak satu diterima embel embel artikulasi juri tidak yakin didengarnya soal ditanyakan peserta tidak terdengar jelas kurun waktu peserta menjawab juri tidak terbiasa tempo bicara lumrah lebih cepat padahal karakteristik anak lomba bersinggungan waktu strategi harap kelalaian juri tidak fokus memberikan penilaian memberikan keterangan keputusan sepihak tidak merugikan peserta keputusan juri bersifat final haruslah dipertimbangkan didengar diperiksa terlebih memutus perkara,0
@MobileLegends-hu4hp,"total poin artinya jika dak ada insiden budeg
timA 45
tim B 80 (krena tdk ada kesempatan mjwab kren C sudah benar)
tim C 85 (krena dpt tambhan 10 dan tdk ada -5)
artinya 1 jawaban yg kontroversi itu sngt berpengaruh utk kemenangan shingga juri, mc dan penyelnggara wajib utk klarifikasi dan memperbaiki hsil akhir.",27,14 jam yang lalu,27,0,318,total poin artinya jika dak ada insiden budeg tima tim b krena tdk ada kesempatan mjwab kren c sudah benar tim c krena dpt tambhan dan tdk ada artinya jawaban yg kontroversi itu sngt berpengaruh utk kemenangan shingga juri mc dan penyelnggara wajib utk klarifikasi dan memperbaiki hsil akhir,total poin artinya jika indak ada insiden budeg tima tim b karena tidak ada kesempatan mjwab keren sih sudah benar tim sih karena dapat tambhan dan tidak ada artinya jawaban yang kontroversi itu sangat berpengaruh untuk kemenangan shingga juri mc dan penyelnggara wajib untuk klarifikasi dan memperbaiki hsil akhir,total poin artinya indak insiden budeg tima tim b tidak kesempatan mjwab keren benar tim tambhan tidak artinya jawaban kontroversi sangat berpengaruh kemenangan shingga juri mc penyelnggara wajib klarifikasi memperbaiki hsil akhir,0
@habillahi_tri_wiyoga5510,"Semoga Adeknya masuk podcast dan jadi terkenal, Aamiin🤲",57,13 jam yang lalu,57,0,55,semoga adeknya masuk podcast dan jadi terkenal aamiin,semoga adeknya masuk podcast dan jadi terkenal amin,semoga adeknya masuk podcast terkenal amin,1
@riodhimaz4730,"Semua Juri tidak bisa menerima kritik, host juga merendahkan peserta, tim lawan tidak sportif. Sungguh kompetisi yang sangat memalukan",62,1 hari yang lalu (diedit),62,1,134,semua juri tidak bisa menerima kritik host juga merendahkan peserta tim lawan tidak sportif sungguh kompetisi yang sangat memalukan,semua juri tidak bisa menerima kritik host juga merendahkan peserta tim lawan tidak sportif sungguh kompetisi yang sangat memalukan,juri tidak menerima kritik host merendahkan peserta tim lawan tidak sportif sungguh kompetisi sangat memalukan,0
@ReusingAir7,Kurangnya fokus juri disini dibilang kompeten?,134,3 hari yang lalu,134,3,46,kurangnya fokus juri disini dibilang kompeten,kurangnya fokus juri disini dibilang kompeten,kurangnya fokus juri dibilang kompeten,0
@dwirachmawan4596,"""yg boleh keberatan dan mengajukan protes hanya peserta, tp keputusan dewan juri bersifat mutlak"" sungguh peraturan otoriter",49,8 jam yang lalu,49,0,124,yg boleh keberatan dan mengajukan protes hanya peserta tp keputusan dewan juri bersifat mutlak sungguh peraturan otoriter,yang boleh keberatan dan mengajukan protes hanya peserta tapi keputusan dewan juri bersifat mutlak sungguh peraturan otoriter,keberatan mengajukan protes peserta keputusan dewan juri bersifat mutlak sungguh peraturan otoriter,0
@faizalizatulislam979,"Ga sportif harus nya bukan di jawab subjektif dengan perasaan tapi bukti dan data objektif dengan tayangan ulang, kata nya juri kompeten",22,1 hari yang lalu,22,1,136,ga sportif harus nya bukan di jawab subjektif dengan perasaan tapi bukti dan data objektif dengan tayangan ulang kata nya juri kompeten,tidak sportif harus ya bukan di jawab subjektif dengan perasaan tapi bukti dan data objektif dengan tayangan ulang kata ya juri kompeten,tidak sportif bukan jawab subjektif perasaan bukti data objektif tayangan ulang kata juri kompeten,0
@bunbunyu9390,kawal terus,0,4 jam yang lalu,0,0,11,kawal terus,kawal terus,kawal,1
@senku5644,contoh nyata mereka tidak mau mendengar suara rakyat,21,1 hari yang lalu,21,1,52,contoh nyata mereka tidak mau mendengar suara rakyat,contoh nyata mereka tidak mau mendengar suara rakyat,contoh nyata tidak mendengar suara rakyat,0
@udtsskcj,"Ada 3 kemungkinan :
1. Juri bayaran 
2. Juri budeg/tuli
3. Juri punya hubungan dengan anggota B, terutama anggota B4",74,10 jam yang lalu,74,0,119,ada kemungkinan juri bayaran juri budeg tuli juri punya hubungan dengan anggota b terutama anggota b,ada kemungkinan juri bayaran juri budeg tuli juri punya hubungan dengan anggota b terutama anggota b,kemungkinan juri bayaran juri budeg tuli juri punya hubungan anggota b terutama anggota b,0
@IcaSyafrilli,"Ngeledek nih jurinya ya ampun, sejelas itu loh artikulasinya, manalah kompeten wkwk",89,2 hari yang lalu,89,2,83,ngeledek nih jurinya ya ampun sejelas itu loh artikulasinya manalah kompeten wkwk,ngeledek nih jurinya ya ampun sejelas itu loh artikulasinya manalah kompeten wkwk,ngeledek jurinya ampun sejelas artikulasinya manalah kompeten,0
@NurJimy-y7w,"Salah satu contoh kenapa suara rakyat hanya berfungsi saat pemilu doang, tapi keren mbaknya menjunjung harga diri sebagai suara rakyat yg minta keadilan seperti melihat sesosok Ra kartini",0,24 menit yang lalu,0,0,187,salah satu contoh kenapa suara rakyat hanya berfungsi saat pemilu doang tapi keren mbaknya menjunjung harga diri sebagai suara rakyat yg minta keadilan seperti melihat sesosok ra kartini,salah satu contoh kenapa suara rakyat hanya berfungsi saat pemilu doang tapi keren mbaknya menjunjung harga diri sebagai suara rakyat yang meminta keadilan seperti melihat sesosok ra kartini,salah satu contoh suara rakyat berfungsi pemilu keren mbaknya menjunjung harga diri suara rakyat meminta keadilan melihat sesosok ra kartini,1
@tasmiamaliah080,"mc yg mengagungkan kata suportif, tapi lihat yang kalian lakukan sama sekali tidak menunjukkan ke suportifan tersebut.

sangat disayangkan kompetisi dengan tingkat yg sudah tidak diragukan lagi tapi kompetensi juri lah yg perlu di tanyakan.

saya butuh keadilan untuk adik"" ini sebagai calon penerus bangsa yang lebih baik.",179,1 hari yang lalu,179,1,327,mc yg mengagungkan kata suportif tapi lihat yang kalian lakukan sama sekali tidak menunjukkan ke suportifan tersebut sangat disayangkan kompetisi dengan tingkat yg sudah tidak diragukan lagi tapi kompetensi juri lah yg perlu di tanyakan saya butuh keadilan untuk adik ini sebagai calon penerus bangsa yang lebih baik,mc yang mengagungkan kata suportif tapi lihat yang kalian lakukan sama sekali tidak menunjukkan ke suportifan tersebut sangat disayangkan kompetisi dengan tingkat yang sudah tidak diragukan lagi tapi kompetensi juri lah yang perlu di tanyakan saya butuh keadilan untuk adik ini sebagai calon penerus bangsa yang lebih baik,mc mengagungkan kata suportif lihat lakukan sekali tidak menunjukkan suportifan tersebut sangat disayangkan kompetisi tingkat tidak diragukan kompetensi juri perlu tanyakan butuh keadilan adik calon penerus bangsa lebih baik,0
@reyy9297,TUAAA ANTI KRITIK IWHH BANGET BUDEG LAGI,28,1 hari yang lalu,28,1,40,tuaaa anti kritik iwhh banget budeg lagi,tua anti kritik iwhh banget budeg lagi,tua anti kritik iwhh budeg,0
@N0pri,Kurang keduanya sih,3,1 hari yang lalu,3,1,19,kurang keduanya sih,kurang keduanya sih,kurang keduanya,1
@muhamadsandykhoirun9117,"Kalo dia emang pinter, harusnya daya kritisnya jalan. Dan terlihat sekali juri di sini ga punya daya kritis sama sekali",1,1 hari yang lalu,1,1,119,kalo dia emang pinter harusnya daya kritisnya jalan dan terlihat sekali juri di sini ga punya daya kritis sama sekali,kalau dia memang pintar harusnya daya kritisnya jalan dan terlihat sekali juri di sini tidak punya daya kritis sama sekali,pintar harusnya daya kritisnya jalan terlihat sekali juri sini tidak punya daya kritis sekali,0
@Fikri22327x,"​ @muhamadsandykhoirun9117  daya kritis itu menjelaskan kenapa salah, kenapa benar diperjelas lagi, ini malah menimbang-nimbang, agak lain jurinya",0,22 jam yang lalu,0,0,146,daya kritis itu menjelaskan kenapa salah kenapa benar diperjelas lagi ini malah menimbang nimbang agak lain jurinya,daya kritis itu menjelaskan kenapa salah kenapa benar diperjelas lagi ini malah menimbang nimbang agak lain jurinya,daya kritis menjelaskan salah benar diperjelas malah menimbang nimbang jurinya,0
@NazmizanHamdiFathansyah,Emang jurinya pinter ?,0,1 hari yang lalu,0,1,22,emang jurinya pinter,memang jurinya pintar,jurinya pintar,0
@dwisusanto2673,Sekelas MPR bikin lomba saja korupsi m. Wqwqwq,0,12 jam yang lalu,0,0,46,sekelas mpr bikin lomba saja korupsi m wqwqwq,sekelas mpr bikin lomba saja korupsi sama wqwqwq,sekelas mpr bikin lomba korupsi wqwqwq,1
@FahirasalwaAfifa,Iy bang tp itu ini negri konoha bang bukn laskar pelangi😂,1,6 jam yang lalu,1,0,57,iy bang tp itu ini negri konoha bang bukn laskar pelangi,iya abang tapi itu ini negeri konoha abang bukan laskar pelangi,abang negeri konoha abang bukan laskar pelangi,1
@jonathanalfredooo,"​ @FahirasalwaAfifa tapi itu ini negeri konoha gimana, dikira film laskar pelangi dari negeri ratu elizabeth, negeri paman sam, negeri ayam jantan, atau negeri kangguru gitu🙄🤔😑",1,5 jam yang lalu,1,0,176,tapi itu ini negeri konoha gimana dikira film laskar pelangi dari negeri ratu elizabeth negeri paman sam negeri ayam jantan atau negeri kangguru gitu,tapi itu ini negeri konoha bagaimana dikira film laskar pelangi dari negeri ratu elizabeth negeri paman sama negeri ayam jantan atau negeri kangguru begitu,negeri konoha bagaimana dikira film laskar pelangi negeri ratu elizabeth negeri paman negeri ayam jantan negeri kangguru,1
@RadityaPramanaPutra2001,​ @FahirasalwaAfifa  Kalau bahasa kerennya: Hidup tidak harus seperti film.,0,5 jam yang lalu,0,0,75,kalau bahasa kerennya hidup tidak harus seperti film,kalau bahasa kerennya hidup tidak harus seperti film,bahasa kerennya hidup tidak film,1
